E_left,E_right,sel_left,sel_right,optset_left,optset_right,Qg_left,Qs_left,Ql_left,Qg_right,Qs_right,Ql_right,g_rel_left,g_rel_right,kind
211,212,小物,草,小,草,747.489357213,747.728703714,495.339226179,747.799115186,747.788958942,495.351859658,3.200981e-04,1.358151e-05,strict
220,221,草,小物,草,小,748.583526410,748.563213918,499.402142317,748.666027714,783.838220783,520.663917310,2.713457e-05,4.487175e-02,strict
231,232,小物,草,小,草,784.566217708,784.686468863,530.937226024,784.736592151,784.731514033,530.951252819,1.532474e-04,6.471112e-06,strict
240,241,草,小物,草,小,785.481955844,785.471799604,534.767699107,785.568088695,810.544804935,553.586469010,1.292995e-05,3.081473e-02,strict
251,252,小物,草,小,草,811.258834358,811.319475239,563.002202051,811.359524398,811.356985343,563.017521830,7.474353e-05,3.129384e-06,strict
260,261,草,小物,草,小,812.070761814,812.065683699,566.553328011,812.158608646,829.472506179,583.186254355,6.253291e-06,2.087338e-02,strict
271,272,小物,草,小,草,830.174619840,830.347847255,591.767136345,830.407600972,830.406331448,591.783226689,2.086203e-04,1.528797e-06,strict
280,281,草,小物,草,小,831.065525719,831.062986666,595.038800276,831.154576704,846.294020560,609.715562767,3.055178e-06,1.788911e-02,strict
291,292,小物,草,小,草,846.985529472,847.143775913,617.502197089,847.201328192,847.200693433,617.518770574,1.868000e-04,7.492424e-07,strict
300,301,草,小物,草,小,847.833054269,847.831784748,620.500522949,847.923426074,862.298486191,633.439985418,1.497372e-06,1.667063e-02,strict
311,312,小物,草,小,草,862.979608125,863.094736847,640.477277120,863.145210012,863.144892635,640.493965113,1.333906e-04,3.676978e-07,strict
320,321,草,小物,草,小,863.757396246,863.756761490,643.209853830,863.848666421,876.332823703,654.615382464,7.348782e-07,1.424591e-02,strict
331,332,小物,草,小,草,877.004171028,877.079916274,660.945966569,877.123627333,877.123468647,660.962327703,8.636071e-05,1.809159e-07,strict
340,341,草,小物,草,小,877.719007539,877.718690165,663.428067877,877.811166159,887.818341400,673.472229000,3.615898e-07,1.127165e-02,strict
351,352,小物,草,小,草,888.480873674,888.527995392,679.157288056,888.566396332,888.566316991,679.173172568,5.303346e-05,8.929031e-08,strict
360,361,草,小物,草,小,889.146497368,889.146338684,681.401438541,889.239295377,896.856723294,690.241217685,1.784672e-07,8.493473e-03,strict
371,372,小物,草,小,草,897.511838834,897.561438694,695.334649196,897.599823274,897.599783606,695.349837637,5.526068e-05,4.419342e-08,strict
380,381,草,小物,草,小,898.162832087,898.162752748,697.359751955,898.255701053,904.349652838,705.137008980,8.833418e-08,6.738491e-03,strict
391,392,小物,草,小,草,904.998239582,905.046808050,709.689284037,905.084602856,905.084583024,709.703709566,5.366404e-05,2.191185e-08,strict
400,401,草,小物,草,小,905.634158341,905.634118674,711.510480280,905.726772716,910.941287108,718.349642546,4.379950e-08,5.724314e-03,strict
411,412,小物,草,小,草,911.583871606,911.625458495,722.413362470,911.661689665,911.661679750,722.426939732,4.561839e-05,1.087500e-08,strict
420,421,草,小物,草,小,912.200567965,912.200548134,724.048389462,912.293365893,916.782304913,730.060456722,2.173923e-08,4.896407e-03,strict
431,432,小物,草,小,草,917.418903295,917.451098457,733.681598497,917.485798764,917.485793808,733.694309921,3.509196e-05,5.401307e-09,strict
